taxa1	taxa2	rhoCut
Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia	Bacteria;Bacteria;Chloroflexi;SHA-26	-1
Bacteria;Bacteria;Desulfobacterota;Desulfuromonadia	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group	-1
Bacteria;Bacteria;Gemmatimonadota;Gemmatimonadetes	Bacteria;Bacteria;Actinobacteriota;Acidimicrobiia	-1
Bacteria;Bacteria;Gemmatimonadota;Gemmatimonadetes	Bacteria;Bacteria;Dependentiae;Babeliae	-1
Bacteria;Bacteria;Methylomirabilota;Methylomirabilia	Bacteria;Bacteria;Dependentiae;Babeliae	-1
Bacteria;Bacteria;Methylomirabilota;Methylomirabilia	Bacteria;Bacteria;Firmicutes;Desulfitobacteriia	-1
Bacteria;Bacteria;Myxococcota;bacteriap25	Bacteria;Bacteria;Bacteroidota;Kapabacteria	-1
Bacteria;Bacteria;Myxococcota;bacteriap25	Bacteria;Bacteria;Chloroflexi;AD3	-1
Bacteria;Bacteria;Myxococcota;bacteriap25	Bacteria;Bacteria;Dependentiae;Babeliae	-1
Bacteria;Bacteria;Myxococcota;Myxococcia	Bacteria;Bacteria;Chloroflexi;JG30-KF-CM66	-1
Bacteria;Bacteria;Myxococcota;Myxococcia	Bacteria;Bacteria;Chloroflexi;SHA-26	-1
Bacteria;Bacteria;Myxococcota;Myxococcia	Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia	-1
Bacteria;Bacteria;Myxococcota;Myxococcia	Bacteria;Bacteria;Gemmatimonadota;Longimicrobia	-1
Bacteria;Bacteria;Myxococcota;Myxococcia	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group	-1
Bacteria;Bacteria;Myxococcota;Myxococcia	Bacteria;Bacteria;Nitrospirota;Nitrospiria	-1
Bacteria;Bacteria;Myxococcota;Myxococcia	Bacteria;Bacteria;Planctomycetota;Pla3 lineage	-1
Bacteria;Bacteria;Planctomycetota;OM190	Bacteria;Bacteria;Acidobacteriota;Subgroup 25	-1
Bacteria;Bacteria;Planctomycetota;OM190	Bacteria;Bacteria;Actinobacteriota;MB-A2-108	-1
Bacteria;Bacteria;Planctomycetota;OM190	Bacteria;Bacteria;Chloroflexi;SHA-26	-1
Bacteria;Bacteria;Planctomycetota;OM190	Bacteria;Bacteria;Cyanobacteria;Cyanobacteriia	-1
Bacteria;Bacteria;Planctomycetota;OM190	Bacteria;Bacteria;Gemmatimonadota;S0134 terrestrial group	-1
Bacteria;Bacteria;Planctomycetota;OM190	Bacteria;Bacteria;Verrucomicrobiota;Omnitrophia	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Archaea;Archaea;Crenarchaeota;Nitrososphaeria	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Archaea;Archaea;Thermoplasmatota;Thermoplasmata	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Acidobacteriota;Vicinamibacteria	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Actinobacteriota;Actinobacteria	-1
Bacteria;Bacteria;Proteobacteria;Alphaproteobacteria	Bacteria;Bacteria;Actinobacteriota;MB-A2-108	-1
