ID	drug_name	GDSC	drug_id	protein	x_id	target	beta	fdr	nc_fdr	nc_beta	ppi	r2	tissue	p_corr_protein	p_pval_protein	corr_diff	counts	skew	cancer_gene
230	GSK429286A	GDSC1	"230;GSK429286A;GDSC1"	CKAP5_HUMAN	CKAP5	"ROCK1;ROCK2"	-0,15435469	0,482606722	3,62E-07	-0,339915304	-	0,620073706	Kidney	-0,378567227	0,035726027	0,242549077	31	-1,007151887	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	CE170_HUMAN	CEP170	BRAF	-0,186846074	0,592569455	5,40E-05	-0,422235414	3	0,495096161	Ovary	-0,727235676	8,44E-05	0,387152025	23	-1,809260826	FALSE
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	CDC5L_HUMAN	CDC5L	"BIRC2;BIRC3;XIAP"	-0,745150012	0,021936497	0,000253167	-0,835567493	-	0,579682112	Skin	-0,320854905	0,018003769	0,224833031	54	-1,084352179	FALSE
1373	Dabrafenib	GDSC2	"1373;Dabrafenib;GDSC2"	CAP1_HUMAN	CAP1	BRAF	-0,053011153	0,841389075	4,66E-05	-0,261890088	2	0,591585105	Skin	-0,305378162	0,026176308	0,265420542	53	-1,457742709	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	ATX10_HUMAN	ATXN10	BCL2	-0,124825228	0,674309108	0,000414717	-0,365656635	-	0,750148631	Stomach	-0,504114417	0,008641456	0,370304317	26	-1,562840054	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	VA0D1_HUMAN	ATP6V0D1	BRAF	-0,164859755	0,571341529	3,72E-08	-0,551027663	3	0,495096161	Skin	-0,287779334	0,058192223	0,162865501	44	-1,809260826	FALSE
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	GDIR1_HUMAN	ARHGDIA	BRAF	-0,107955471	0,64071604	1,33E-06	-0,345646574	2	0,495096161	Haematopoietic and Lymphoid	-0,191709778	0,020889247	0,167337457	145	-1,809260826	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	KAD1_HUMAN	AK1	BCL2	-0,120265342	0,421736483	0,000246888	-0,211088407	3	0,750148631	Lung	-0,322154526	1,94E-05	0,314309224	169	-1,562840054	FALSE
1032	Afatinib	GDSC1	"1032;Afatinib;GDSC1"	ACOX1_HUMAN	ACOX1	"EGFR;ERBB2"	-0,029122709	0,963825312	0,000165058	-0,285590164	-	0,564903962	Breast	-0,520739085	0,000482202	0,160989378	41	-1,532922624	FALSE
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	ADPPT_HUMAN	AASDHPPT	BCL2	-0,141358935	0,490533647	0,000495033	-0,274225628	4	0,750148631	Lung	-0,324199263	1,71E-05	0,222635494	169	-1,562840054	FALSE
