ID	drug_name	GDSC	y_id	x_id	n	beta	pval	fdr	nc_beta	nc_pval	nc_fdr	r2	target	ppi	skew	cancer_gene	UniprotID_inString
94	TGX221	GDSC1	"94;TGX221;GDSC1"	LAMB1	197	-0,029267612	0,41752804	0,810081074	-0,131629076	4,15833E-06	0,000191283	0,531959313	PIK3CB	2	-1,284650311	FALSE	P07942
1936	Savolitinib	GDSC2	"1936;Savolitinib;GDSC2"	LSM3	906	-0,187537712	0,002656728	0,049913423	-0,198306344	0,000745354	0,03192888	0,624177437	MET	3	-1,306810675	FALSE	P62310
1936	Savolitinib	GDSC2	"1936;Savolitinib;GDSC2"	PRMT3	566	-0,187667572	0,009130388	0,094839326	-0,140176827	0,033540434	0,241020076	0,624177437	MET	3	-1,306810675	FALSE	O60678
1429	IAP_7638	GDSC1	"1429;IAP_7638;GDSC1"	HSPA5	855	-0,18793544	0,044135425	0,2921701	-0,335499624	3,05916E-06	0,000123907	0,430331456	"BIRC2;BIRC3;XIAP"	-	-2,190857375	FALSE	P11021
1936	Savolitinib	GDSC2	"1936;Savolitinib;GDSC2"	TMEM70	72	-0,188174681	0,005447168	0,07066052	-0,139003609	0,019757374	0,181101432	0,624177437	MET	-	-1,306810675	FALSE	Q9BUB7
1429	IAP_7638	GDSC1	"1429;IAP_7638;GDSC1"	SRPRB	855	-0,188201335	0,036270694	0,265284421	-0,320126631	2,80014E-05	0,000635318	0,430331456	"BIRC2;BIRC3;XIAP"	-	-2,190857375	FALSE	Q9Y5M8
94	TGX221	GDSC1	"94;TGX221;GDSC1"	LAMC1	228	-0,005314711	0,854688177	0,96940653	-0,098974221	1,89645E-06	0,000113408	0,531959313	PIK3CB	2	-1,284650311	FALSE	P11047
1429	IAP_7638	GDSC1	"1429;IAP_7638;GDSC1"	NCLN	855	-0,18822413	0,046653358	0,298905719	-0,346947472	4,14408E-05	0,000842373	0,430331456	"BIRC2;BIRC3;XIAP"	-	-2,190857375	FALSE	not found
1373	Dabrafenib	GDSC2	"1373;Dabrafenib;GDSC2"	CGGBP1	651	-0,188275449	0,030039128	0,453049147	-0,374746254	2,09237E-05	0,000348828	0,591585105	BRAF	-	-1,457742709	FALSE	Q9UFW8
2022	PF-06747775	GDSC2	"2022;PF-06747775;GDSC2"	RABL3	665	-0,188369565	0,058450475	0,627122716	-0,415237069	5,26932E-05	0,000764339	0,507920431	EGFR	-	-1,179659171	FALSE	Q5HYI8
94	TGX221	GDSC1	"94;TGX221;GDSC1"	LMNA	342	-0,010102577	0,700358428	0,930804292	-0,062954979	2,45618E-05	0,000748431	0,531959313	PIK3CB	2	-1,284650311	FALSE	not found
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	SAE1	883	-0,188611763	0,009805216	0,340839186	-0,34212121	2,58065E-07	3,31703E-05	0,750148631	BCL2	3	-1,562840054	FALSE	Q9UBE0
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	MCMBP	773	-0,188621381	0,032391055	0,429539776	-0,363564682	1,24635E-05	0,000441574	0,750148631	BCL2	4	-1,562840054	FALSE	Q9BTE3
1936	Savolitinib	GDSC2	"1936;Savolitinib;GDSC2"	ALDOC	892	-0,188663571	5,81545E-07	0,000454574	-0,159839689	2,6732E-06	0,00105515	0,624177437	MET	3	-1,306810675	FALSE	P09972
1373	Dabrafenib	GDSC2	"1373;Dabrafenib;GDSC2"	WDR61	891	-0,188692054	0,117239986	0,627705843	-0,692824662	1,92344E-08	9,56524E-07	0,591585105	BRAF	3	-1,457742709	FALSE	Q9GZS3
1909	Venetoclax	GDSC2	"1909;Venetoclax;GDSC2"	SSB	907	-0,188865457	0,034734207	0,442340928	-0,327923301	3,68536E-05	0,000959358	0,750148631	BCL2	3	-1,562840054	FALSE	P05455
1936	Savolitinib	GDSC2	"1936;Savolitinib;GDSC2"	CCDC6	771	-0,188956614	0,001912193	0,041936971	-0,145108157	0,004258228	0,080585502	0,624177437	MET	3	-1,306810675	FALSE	Q16204
94	TGX221	GDSC1	"94;TGX221;GDSC1"	MYH9	370	-0,00354407	0,907292516	0,978736002	-0,14238097	9,3573E-12	1,45677E-08	0,531959313	PIK3CB	2	-1,284650311	TRUE	P35579
1032	Afatinib	GDSC1	"1032;Afatinib;GDSC1"	MRPL53	874	-0,189561057	0,046118293	0,75749606	-0,531579106	3,4594E-07	3,71716E-06	0,564903962	"EGFR;ERBB2"	-	-1,532922624	FALSE	Q96EL3
2296	GDC-0879	GDSC2	"2296;GDC-0879;GDSC2"	YWHAB	562	-0,108063653	0,00545378	0,346402421	-0,186597827	2,81676E-06	0,000182632	0,515337046	BRAF	1	-1,312485626	FALSE	P31946
406	LIMK1 inhibitor BMS4	GDSC1	"406;LIMK1 inhibitor BMS4;GDSC1"	RPL23	856	-0,189732827	0,004734939	0,503904248	-0,318854793	1,06461E-06	0,000200441	0,478297597	LIMK1	3	-1,025271073	FALSE	P62829
1377	Afatinib	GDSC1	"1377;Afatinib;GDSC1"	MRPL47	843	-0,189763614	0,052678017	0,725863496	-0,544576396	1,46538E-07	2,55809E-06	0,643925693	"EGFR;ERBB2"	-	-1,662421068	FALSE	Q9HD33
1936	Savolitinib	GDSC2	"1936;Savolitinib;GDSC2"	AP3D1	812	-0,189913034	0,004957224	0,06714122	-0,162908118	0,009930769	0,124399089	0,624177437	MET	3	-1,306810675	FALSE	O14617
1373	Dabrafenib	GDSC1	"1373;Dabrafenib;GDSC1"	YWHAB	806	-0,149478478	0,022789047	0,519127254	-0,355306994	7,03994E-07	1,79552E-05	0,495096161	BRAF	1	-1,809260826	FALSE	P31946
94	TGX221	GDSC1	"94;TGX221;GDSC1"	MYL6	370	0,002827904	0,926965907	0,983937186	-0,15649938	1,33054E-09	3,18266E-07	0,531959313	PIK3CB	2	-1,284650311	FALSE	P60660
94	TGX221	GDSC1	"94;TGX221;GDSC1"	MYO1C	253	-0,059184865	0,10518122	0,526346187	-0,123516029	3,39137E-06	0,000174455	0,531959313	PIK3CB	2	-1,284650311	FALSE	O00159
2296	GDC-0879	GDSC2	"2296;GDC-0879;GDSC2"	CYP51A1	397	-0,190720898	0,000202251	0,126375522	-0,263090248	1,12528E-06	8,92253E-05	0,515337046	BRAF	4	-1,312485626	FALSE	Q16850
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	SUN2	816	-0,19109271	0,068541233	0,280479966	-0,323522222	3,15015E-05	0,000661895	0,579682112	"BIRC2;BIRC3;XIAP"	-	-1,084352179	FALSE	Q9UH99
94	TGX221	GDSC1	"94;TGX221;GDSC1"	NME1	363	0,097397963	0,000446731	0,176314794	0,108952298	8,65084E-06	0,000320819	0,531959313	PIK3CB	2	-1,284650311	FALSE	P15531
406	LIMK1 inhibitor BMS4	GDSC1	"406;LIMK1 inhibitor BMS4;GDSC1"	RAB32	390	-0,192080669	0,001344184	0,411604316	-0,243276638	7,57526E-07	0,000158151	0,478297597	LIMK1	3	-1,025271073	FALSE	Q13637
94	TGX221	GDSC1	"94;TGX221;GDSC1"	OTUB1	369	0,090808584	0,002019559	0,239056181	0,119443145	2,36339E-05	0,00072945	0,531959313	PIK3CB	2	-1,284650311	FALSE	Q96FW1
2022	PF-06747775	GDSC2	"2022;PF-06747775;GDSC2"	COA6	558	-0,192686466	0,0179443	0,469580533	-0,31275525	4,27642E-05	0,000644987	0,507920431	EGFR	3	-1,179659171	FALSE	Q5JTJ3
94	TGX221	GDSC1	"94;TGX221;GDSC1"	PARVA	119	-0,014018577	0,783594894	0,954115036	-0,178917186	8,57723E-06	0,000320574	0,531959313	PIK3CB	2	-1,284650311	FALSE	Q9NVD7
94	TGX221	GDSC1	"94;TGX221;GDSC1"	PDLIM7	321	-0,042133528	0,146787572	0,597644038	-0,122225511	6,57949E-10	2,09842E-07	0,531959313	PIK3CB	2	-1,284650311	FALSE	Q9NR12
94	TGX221	GDSC1	"94;TGX221;GDSC1"	PICALM	366	-0,118875639	0,042340525	0,389845972	-0,248892641	2,19877E-10	9,56264E-08	0,531959313	PIK3CB	2	-1,284650311	FALSE	Q13492
1936	Savolitinib	GDSC2	"1936;Savolitinib;GDSC2"	MGMT	461	-0,194572697	0,001226572	0,034757911	-0,13169239	0,013304039	0,147596556	0,624177437	MET	4	-1,306810675	FALSE	P16455
94	TGX221	GDSC1	"94;TGX221;GDSC1"	PML	364	-0,028155129	0,422334642	0,813057919	-0,103709223	1,48143E-07	1,64355E-05	0,531959313	PIK3CB	2	-1,284650311	FALSE	not found
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	SLC2A1	729	-0,194742671	0,008816976	0,094366889	-0,159152309	0,002331857	0,018329404	0,579682112	"BIRC2;BIRC3;XIAP"	-	-1,084352179	FALSE	P11166
1427	AZD5582	GDSC1	"1427;AZD5582;GDSC1"	STT3A	821	-0,194790791	0,049744512	0,237092693	-0,382563653	1,19483E-05	0,000322085	0,579682112	"BIRC2;BIRC3;XIAP"	-	-1,084352179	FALSE	P46977
1061	SB590885	GDSC2	"1061;SB590885;GDSC2"	AMDHD2	359	-0,194822329	0,037312142	0,345586544	-0,54756374	4,15485E-08	2,54229E-06	0,59266103	BRAF	4	-1,013673138	FALSE	Q9Y303
2103	Capmatinib	GDSC2	"2103;Capmatinib;GDSC2"	EIF2B2	292	-0,194929356	9,37184E-05	0,062086021	-0,154590545	0,001512321	0,292690409	0,663131289	MET	3	-1,898466857	FALSE	P49770
94	TGX221	GDSC1	"94;TGX221;GDSC1"	PVR	249	-0,030973052	0,330980945	0,758809622	-0,110423686	1,01121E-06	7,44251E-05	0,531959313	PIK3CB	2	-1,284650311	FALSE	not found
1373	Dabrafenib	GDSC2	"1373;Dabrafenib;GDSC2"	TIGAR	551	-0,195114612	0,044062899	0,507781212	-0,622241262	1,6611E-11	2,03762E-09	0,591585105	BRAF	-	-1,457742709	FALSE	Q9NQ88
